VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
9819,TREASURY WINE ESTATES,6688,Ch St Jean Chard California,5.81,9.99,750.0,26716.0,155219.96000000005,26194.0,251277.02000000156,71275.80999999923,2933.4500000000385,14836.570000000005,96057.06000000151,38.227554592935284,0.9804611468782752,1.6188447671291855
3960,DIAGEO NORTH AMERICA INC,2570,Johnnie Walker Gold Rsv,57.14,79.99,750.0,2715.0,155135.10000000003,2119.0,172043.81000000008,105826.98999999976,1669.959999999999,257032.07000000007,16908.71000000005,9.828142029637709,0.7804788213627992,1.1089934515141966
1273,CALEDONIA SPIRITS INC,2580,Barr Hill Gin,29.36,36.99,750.0,5272.0,154785.91999999987,4946.0,174154.54000000044,111934.21999999939,3896.7400000000157,1319.7700000000002,19368.620000000577,11.121513111286406,0.9381638846737481,1.125131665722571
3960,DIAGEO NORTH AMERICA INC,4662,Capt Morgan White PET,15.38,19.99,1750.0,10062.0,154753.55999999994,11033.0,220629.67000000196,127921.02999999908,20275.410000000047,257032.07000000007,65876.11000000202,29.858228043400253,1.0965016895249453,1.4256839713412863
660,SAZERAC NORTH AMERICA INC.,4181,Calypso Spiced Rum,9.37,11.99,1750.0,16514.0,154736.17999999988,16430.0,189110.70000000097,105768.25999999832,30190.64000000038,17932.329999999994,34374.520000001095,18.176930231869967,0.9949134068063461,1.2221492090602284
17035,PERNOD RICARD USA,3422,Beefeater,15.99,19.99,750.0,9667.0,154575.33,9500.0,191335.00000000146,132768.16999999902,7486.879999999965,123780.21999999997,36759.67000000147,19.212203726448998,0.9827247336298748,1.2378107166260066
7245,PROXIMO SPIRITS INC.,8474,1800 Reposado Gold Tequila,24.62,41.99,1750.0,6259.0,154096.58000000013,6154.0,230884.46000000156,159372.07000000047,11311.359999999953,38994.78000000001,76787.88000000143,33.25814132315398,0.9832241572136124,1.4983100857916598
8664,"STOLI GROUP,(USA) LLC",3656,Stolichnaya Vanil,19.99,24.99,1750.0,7706.0,154042.93999999992,7894.0,200189.06000000096,130497.59999999916,14508.339999999918,18544.489999999998,46146.12000000104,23.05126963481462,1.0243965740981054,1.2995666013645355
12546,JIM BEAM BRANDS COMPANY,8296,Knob Creek Smoked Maple,21.7,31.99,750.0,7084.0,153722.8000000002,6212.0,185815.88000000073,137442.06999999954,4896.310000000014,123880.96999999999,32093.08000000054,17.271440955423408,0.8769057029926595,1.208772413721325
12546,JIM BEAM BRANDS COMPANY,1382,Makers 46,28.56,39.99,750.0,5382.0,153709.92000000007,5196.0,212185.04000000097,156002.94000000044,4095.610000000018,123880.96999999999,58475.1200000009,27.558549839329217,0.9654403567447045,1.3804251540824488
9165,ULTRA BEVERAGE COMPANY LLP,966,Patron Citronge Orange Liqu,16.15,20.99,750.0,9393.0,151696.9499999999,9887.0,210796.1300000017,129169.47999999899,7789.49999999997,68054.70000000003,59099.1800000018,28.03617884256287,1.0525923560097945,1.389587134085437
